cumulative_proportion,cumulative_profits,rfmz
0.17431784000572942778,90830.7470,4214
0.17700350927451120820,92461.6540,5532
0.18065601948005442957,94496.8140,4254
0.18176609611115089881,95016.8440,4241
0.18316264413091742463,96170.0870,3554
0.18420110291484637973,96441.0030,4423
0.18706581680154694551,97885.6630,4353
0.19075413593067392395,99351.6990,4344
0.19143450547876530832,99599.5850,3231
0.19304590704003437657,100814.1800,4542
0.19526606030222731505,101870.5160,4253
0.19834562773043042326,103623.3440,4445
0.20060158991620711881,104922.0890,5543
0.20146100408221728854,105683.2900,3553
0.20461218935758791090,107597.8250,4354
0.20629520876602449330,108355.0020,3342
0.20758433001503974790,108621.9120,5513
0.21016257251307025710,110643.2520,3545
0.21130845806775048341,110754.2460,3325
0.21163073838000429706,110887.3030,5551
0.21245434362243070972,111020.3600,4322
0.21682303229964907254,113701.2600,5555
0.22112010312969992121,116112.4730,5545
0.22212275299004511923,116576.4430,3351
0.22423547948148678649,118143.8610,3555
0.22674210413234978155,119291.6930,3335
0.22953520017188283319,120460.8100,4334
0.23333094607176108285,122046.1980,4345
0.23444102270285755209,122420.1980,4251
0.23508558332736517939,122728.1980,5441
0.24052853971209625437,125565.4940,4255
0.24432428561197450403,127432.1300,5535
0.24700995488075628445,128859.3970,4454
0.24765451550526391175,129144.3670,3241
0.24923010814294922293,129845.7390,3332
0.25184415956456348921,130936.1330,4343
0.25352717897300007161,131960.5770,3543
0.25528181622860416815,132700.3370,4443
0.25674998209553820811,133483.2290,5552
0.25743035164362959248,133635.2470,4321
0.25861204612189357586,133787.2650,3515
0.26165580462651292700,135454.5390,5544
0.26419823820095967913,136600.9470,4435
0.26537993267922366251,137032.7070,5525
0.26881758934326434145,138371.1150,4243
0.27075127121678722335,139211.7100,4342
0.27229105493088877746,139405.6620,3324
0.27325789586765021841,139879.7760,4452
0.27436797249874668765,140094.6560,4225
0.27540643128267564275,140438.4640,4351
0.27730430423261476758,141405.5390,4453
0.27845018978729499389,142071.3470,3542
0.28092100551457423188,143123.0350,4352
0.28221012676358948648,143552.2450,3531
0.28446608894936618203,143808.2930,3421
0.28998066318126477116,143872.3050,4155
0.29277375922079782280,145172.3950,5534
0.29370479123397550668,145513.3620,3452
0.29495810355940700421,145683.3920,3321
0.29986392609038172311,147871.3610,4355
0.30086657595072692113,148210.4660,3341
0.30272863997708228889,148802.4420,3244
0.30405357014968130056,149223.2710,3432
0.30512783785719401273,149244.2680,4151
0.30770608035522452193,149265.2650,4134
0.30885196590990474824,149475.2350,3423
0.31078564778342763014,150126.1420,4332
0.31454558475972212273,152057.7120,4455
0.31651507555682876170,152287.7120,3514
0.31766096111150898801,152788.7840,3442
0.31866361097185418603,153080.8800,4331
0.32106280885196590987,154103.2160,3254
0.32238773902456492154,154249.2640,4224
0.32374847812074769029,154790.9520,3232
0.32546730645276802976,155497.7060,3443
0.32625510277161068535,155580.6970,3213
0.32750841509704218288,156057.8170,3454
