cumulative_proportion,cumulative_responses,response_rate,tot_contacts
0.198092716019995239181735,3390,0.050209205020920502090,478
0.198931801951916210381735,3397,0.024822695035460992910,282
0.202704713163532492221735,3437,0.031545741324921135650,1268
0.207789811949535824761735,3505,0.039789350497366881220,1709
0.208465246369911925691735,3517,0.052863436123348017620,227
0.211494287074506069941735,3559,0.041257367387033398820,1018
0.214907164960723637191735,3601,0.036617262423714036620,1147
0.219040109497738633621735,3657,0.040316774658027357810,1389
0.223399190668888359881735,3715,0.039590443686006825940,1465
0.224875029754820280851735,3729,0.028225806451612903230,496
0.229942275648655082091735,3795,0.038755137991779213150,1703
0.232188764579861937601735,3813,0.023841059602649006620,755
0.232923708640799809541735,3824,0.044534412955465587040,247
0.237312544632230421301735,3869,0.030508474576271186440,1475
0.237708283741966198501735,3873,0.030075187969924812030,133
